iso3,insuff_pa_f,female_activity_rate_pct,sba_pct,gdp_pc,log_gdp_pc,sec_enroll_f
ARE,71.479973,28.520027,100.0,44251.4541398817,10.697643511814364,101.139777479205
ARG,39.275837,60.724163,100.0,9955.97478680428,9.205928131021869,113.60587310791
AUS,27.671347,72.328653,99.0,54972.7017885437,10.91459200988416,139.616836547852
AUT,21.803448,78.196552,98.0,49885.9947355204,10.817495575722525,100.049346923828
AZE,22.968599,77.031401,100.0,4805.75371765917,8.477569170218306,107.552111988747
BDI,14.676105,85.323895,99.0,210.236494521532,5.348233061458284,44.8293939228029
BGD,22.351402,77.64859799999999,59.0,2129.79896954606,7.663782873754545,68.6082490748818
BGR,30.720377,69.279623,92.0,10372.8044341114,9.246942701895517,101.704620361328
BHR,41.70282,58.29718,100.0,27259.7438599327,10.213166309019025,101.991173149954
BHS,46.523663,53.476337,99.0,33640.3369861278,10.423481131460248,80.0
BIH,22.77273,77.22727,100.0,6122.3753450882,8.71970542848646,87.5772018432617
BLR,14.321407,85.678593,100.0,6837.77339645635,8.830217430787368,99.9048197524061
BLZ,46.484695,53.515305,95.0,6190.04792278445,8.730698107617082,88.4514778969396
BOL,26.287237,73.712763,81.0,3503.89601123129,8.161630774455887,88.0304372690611
BRA,43.189312,56.810688,98.0,9029.83326681073,9.108289181878517,106.028106689453
BRB,49.895744,50.104256,98.0,20583.7265786414,9.932256070674825,106.941482543945
BRN,36.193363,63.806637,100.0,30426.5730284202,10.323071618357202,91.2721405029297
BTN,11.44226,88.55774,96.0,3576.87987100503,8.182246154967096,97.6848520202403
BWA,27.557051,72.442949,100.0,7172.08956480028,8.877952322767555,
CAN,37.164848,62.835152,98.0,46352.8693445211,10.744038475108562,111.364883422852
CHL,42.68111,57.31889,100.0,14495.716721687,9.581608486265589,104.032539367676
COL,39.05032,60.94968,99.0,6472.54544924705,8.77532473350093,104.421806335449
CRI,56.763458,43.236542,99.0,12884.6859951947,9.46379475299477,137.081527709961
CUB,68.226143,31.773857000000007,100.0,9232.26115935183,9.130459276839085,101.62084197998
CYP,47.264652,52.735348,100.0,29703.052734375,10.299005105177898,99.23193359375
DEU,12.71818,87.28182,96.0,47623.8656074829,10.771089292879868,97.6850433349609
DMA,37.455914,62.544086,100.0,9491.14995962374,9.158115060197826,103.694158075601
DNK,12.795914,87.204086,96.0,59404.2663247723,10.992121326420907,128.905914306641
