iso3,insuff_pa_female_pct,skilled_birth_attendance_pct,NY.GDP.PCAP.CD,SE.SEC.ENRR.FE,female_activity_rate_pct
ARE,71.479973,100.0,44251.4541398817,101.139777479205,28.520027
ARG,39.275837,100.0,9955.97478680428,113.60587310791,60.724163
AUS,27.671347,99.0,54972.7017885437,139.616836547852,72.328653
AUT,21.803448,98.0,49885.9947355204,100.049346923828,78.196552
AZE,22.968599,100.0,4805.75371765917,107.552111988747,77.031401
BDI,14.676105,99.0,210.236494521532,44.8293939228029,85.323895
BGD,22.351402,59.0,2129.79896954606,68.6082490748818,77.64859799999999
BGR,30.720377,92.0,10372.8044341114,101.704620361328,69.279623
BHR,41.70282,100.0,27259.7438599327,101.991173149954,58.29718
BHS,46.523663,99.0,33640.3369861278,80.0,53.476337
BIH,22.77273,100.0,6122.3753450882,87.5772018432617,77.22727
BLR,14.321407,100.0,6837.77339645635,99.9048197524061,85.678593
BLZ,46.484695,95.0,6190.04792278445,88.4514778969396,53.515305
BOL,26.287237,81.0,3503.89601123129,88.0304372690611,73.712763
BRA,43.189312,98.0,9029.83326681073,106.028106689453,56.810688
BRB,49.895744,98.0,20583.7265786414,106.941482543945,50.104256
BRN,36.193363,100.0,30426.5730284202,91.2721405029297,63.806637
BTN,11.44226,96.0,3576.87987100503,97.6848520202403,88.55774
BWA,27.557051,100.0,7172.08956480028,,72.442949
CAN,37.164848,98.0,46352.8693445211,111.364883422852,62.835152
CHL,42.68111,100.0,14495.716721687,104.032539367676,57.31889
COL,39.05032,99.0,6472.54544924705,104.421806335449,60.94968
CRI,56.763458,99.0,12884.6859951947,137.081527709961,43.236542
CUB,68.226143,100.0,9232.26115935183,101.62084197998,31.773857000000007
CYP,47.264652,100.0,29703.052734375,99.23193359375,52.735348
DEU,12.71818,96.0,47623.8656074829,97.6850433349609,87.28182
DMA,37.455914,100.0,9491.14995962374,103.694158075601,62.544086
DNK,12.795914,96.0,59404.2663247723,128.905914306641,87.204086
DOM,41.298687,99.0,8183.01623600375,85.3244113670457,58.701313
ECU,27.329136,97.0,6205.05765246766,95.28924793166,72.670864
ESP,26.808926,100.0,29786.5245689007,120.450668334961,73.191074
EST,14.993611,100.0,24021.2501413306,114.590209960938,85.006389
ETH,12.61242,50.0,828.709080522921,,87.38758
FIN,9.7848282,100.0,48358.1807773701,151.423095703125,90.21517180000001
FRA,28.511122,98.0,40408.2848574751,104.170417785645,71.488878
GEO,22.607548,100.0,4741.2832715876,109.182046396768,77.39245199999999
GRC,36.737797,100.0,19335.3602002969,104.780532836914,63.262203
GRD,41.326172,100.0,10462.7929159533,,58.673828
GUY,43.258507,95.0,6405.82443444562,,56.741493
HND,41.311447,94.0,2502.32744328073,68.4164123535156,58.688553
HRV,26.19976,100.0,15563.8167397199,107.940246582031,73.80024
IDN,16.153193,95.0,4106.94856160358,95.9420767172654,83.846807
IRL,26.625698,100.0,81810.1926481407,144.521484375,73.374302
ISL,28.817585,98.0,68452.23622306,110.045211791992,71.18241499999999
ISR,30.024265,100.0,44250.6313628073,96.8821868896484,69.975735
ITA,44.526688,100.0,33812.788724868,100.929710388184,55.473312
JAM,43.953671,100.0,5607.24299266608,86.3051320241406,56.046329
JPN,46.927483,100.0,40415.9567649547,102.681167602539,53.072517
KNA,47.292816,100.0,23595.4923231291,112.30303030303,52.707184
KWT,64.737053,100.0,31707.8737464917,,35.262947
LAO,21.875347,69.0,2589.32081035237,62.7755100424821,78.124653
LCA,24.763212,100.0,11794.0597229805,88.6840362548828,75.236788
LTU,20.388735,100.0,19608.7943945553,102.356819152832,79.611265
LVA,14.819188,98.0,17294.9751600969,107.570869445801,85.180812
MDA,10.403444,100.0,4405.33418162155,95.0363793316069,89.59655599999999
MEX,29.412821,89.0,10369.5553585271,110.386650085449,70.58717899999999
MLT,46.196564,100.0,32421.9179753188,105.412406921387,53.803436
MUS,33.557995,100.0,11403.2527870674,94.0894965817278,66.442005
NOR,37.815254,99.0,76430.5889473338,116.849769592285,62.184746
NZL,20.248358,97.0,42779.2298164101,123.941261291504,79.751642
OMN,48.343723,99.0,19180.1864152801,101.22554053215,51.656277
PAK,54.013084,74.0,1390.41690981745,35.5736865644319,45.986916
PAN,63.47279,95.0,16477.9066285687,,36.52721
PER,35.402142,94.0,7037.00803692604,98.8904113769531,64.597858
PLW,36.297043,100.0,15841.1956399595,,63.702957
POL,35.990753,100.0,15874.5220531254,108.760276794434,64.009247
PRT,55.356335,100.0,23343.3628970034,120.158042907715,44.643665
PRY,37.499477,92.0,5821.18199548637,,62.500523
QAT,62.22691,100.0,66841.3013484919,106.114051818848,37.77309
ROU,34.068836,92.0,12992.0326104674,86.5128479003906,65.931164
RUS,16.869455,100.0,11447.701171875,99.6904540870663,83.130545
SAU,59.546452,95.0,29566.7933827436,104.201619656228,40.453548
SEN,21.928219,75.0,1431.18128932159,47.6122826558931,78.071781
SGP,22.195824,100.0,65952.0378959293,104.181057515607,77.804176
SLE,17.399027,87.0,844.049555179116,60.979808807373,82.600973
SLV,44.056282,100.0,4320.11671534627,66.123873218959,55.943718
SRB,48.986687,100.0,7755.632986437,94.9925765991211,51.013313
STP,21.835737,97.0,1935.2931816596,,78.164263
SVK,24.446232,98.0,19406.0589683582,92.1884994506836,75.553768
SYC,20.997673,99.0,19141.5118743615,100.954458685574,79.00232700000001
TCD,19.582626,47.0,893.336441643325,14.1967132658225,80.417374
THA,27.351963,99.0,7605.69657797759,85.5828342157346,72.648037
TJK,42.885235,99.0,871.022372934846,,57.114765
TKM,13.683921,100.0,6648.0348960628,85.1072153533862,86.316079
TON,37.800957,98.0,4676.84802517145,101.290988897495,62.199043
TUR,52.745747,97.0,9215.44049888114,110.276336669922,47.254253
URY,35.946098,100.0,18315.7316980028,126.343617174679,64.053902
USA,39.062778,99.0,65227.9565911038,99.189453125,60.937222
UZB,31.921282,100.0,2041.38480729431,96.2599029541016,68.078718
VCT,38.591156,100.0,8740.59425232061,,61.408844
ZWE,21.189667,86.0,1683.91313584141,,78.810333
